Year,Winter,Spring,Summer,Fall
1955,-0.01,-0.26,-0.09,-0.12
1956,-0.29,-0.29,-0.18,-0.21
1957,-0.13,-0.03,0.05,0.08
1958,0.29,0.13,-0.06,0.04
1959,0.02,0.15,0.07,-0.1
1960,0.15,-0.27,-0.01,0.04
1961,0.16,0.11,0.07,0.11
1962,0.04,0.02,-0.05,0.05
1963,0.08,-0.18,0.1,0.13
1964,-0.09,-0.32,-0.16,-0.3
1965,-0.19,-0.18,-0.16,-0.16
1966,-0.14,-0.02,-0.01,-0.11
1967,-0.14,0.03,-0.01,0.04
1968,-0.13,0.02,-0.11,-0.09
1969,-0.21,0.06,-0.02,0.06
1970,0.21,0.06,0.04,0.1
1971,-0.09,-0.1,-0.09,-0.04
1972,-0.22,-0.05,0.11,-0.01
1973,0.23,0.35,0.18,0.13
1974,-0.11,-0.02,0.04,-0.1
1975,0.04,0.15,-0.05,-0.04
1976,-0.1,-0.26,-0.19,-0.23
1977,0.12,0.31,0.31,0.05
1978,0.16,0.25,0.03,0.12
1979,0.07,0.19,0.13,0.29
1980,0.45,0.44,0.3,0.29
1981,0.46,0.5,0.48,0.21
1982,0.28,0.1,0.1,0.08
1983,0.44,0.46,0.32,0.41
1984,0.2,0.33,0.17,0.2
1985,0.13,0.24,0.22,0.17
1986,0.35,0.39,0.16,0.09
1987,0.39,0.31,0.47,0.33
1988,0.57,0.58,0.53,0.43
1989,0.36,0.35,0.39,0.4
1990,0.45,0.68,0.5,0.46
1991,0.54,0.55,0.64,0.45
1992,0.42,0.36,0.18,0.04
1993,0.36,0.32,0.31,0.15
1994,0.23,0.37,0.43,0.45
1995,0.64,0.51,0.58,0.56
1996,0.48,0.44,0.56,0.43
1997,0.53,0.5,0.49,0.61
1998,0.87,0.86,0.93,0.63
1999,0.76,0.46,0.59,0.61
2000,0.53,0.67,0.64,0.46
2001,0.56,0.66,0.66,0.7
2002,0.86,0.93,0.72,0.72
2003,0.74,0.77,0.72,0.78
2004,0.86,0.7,0.5,0.77
2005,0.83,0.85,0.79,0.96
2006,0.86,0.67,0.75,0.8
2007,1.02,0.93,0.77,0.79
2008,0.55,0.72,0.56,0.8
2009,0.75,0.75,0.85,0.83
2010,0.93,1.03,0.81,0.94
2011,0.7,0.74,0.86,0.8
2012,0.67,0.81,0.71,0.92
2013,0.81,0.72,0.78,0.92
2014,0.82,0.9,0.79,0.97
2015,1.01,0.92,0.82,1.07
2016,1.46,1.38,1.06,1.16
